timestamp,approach,turn,length_ft,speed_mph,phase,light,seconds_of_light_state,seconds_since_green,recent_free_flow_speed_mph,calibration_free_flow_speed_mph,include_in_approach_data,zone_id
20161003T065201,N,L,12,10,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T065203.0,N,L,13,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T065205.5,N,L,5,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T065351,N,L,14,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T065730.0,N,L,8,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T065732.5,N,L,11,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T070110.7,N,L,15,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T070113.5,N,L,4,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T070259.6,N,S,13,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T070302.1,N,L,17,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T070450.6,N,L,13,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T070640.0,N,L,16,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T070833.1,N,L,6,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T070830.8,N,L,11,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T070834.7,N,L,13,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T070840.0,N,L,14,19,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071021.9,N,L,9,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071019.5,N,L,11,7,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071024.3,N,L,12,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071015.8,N,L,17,0,3,R,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071211.7,N,L,13,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071213.9,N,L,11,18,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071550.3,N,L,11,7,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071612.1,N,S,6,4,3,R,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071613.6,N,L,5,11,3,R,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071741.1,N,L,13,10,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071739.6,N,L,7,8,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071743.5,N,L,13,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071745.1,N,L,12,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071747.3,N,L,10,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071928.7,N,L,14,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071933.0,N,L,14,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071936.6,N,L,13,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071938.8,N,L,14,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071940.3,N,L,7,16,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T071942.8,N,L,10,18,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072120.3,N,L,12,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072122.5,N,L,12,17,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072125.9,N,L,14,13,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072128.1,N,L,13,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072129.9,N,L,12,16,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072131.8,N,L,44,15,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072309.6,N,L,11,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072315.0,N,L,13,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072312.6,N,L,9,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072317.3,N,L,13,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072319.3,N,L,7,17,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072500.4,N,L,10,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072506.2,N,L,12,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072507.8,N,L,6,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072510.1,N,L,15,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072649.2,N,L,14,8,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072651.7,N,L,15,13,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072654.2,N,L,7,22,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072839.7,N,L,13,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072847.7,N,L,16,18,3,R,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T072846,N,L,12,15,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073029,N,L,10,6,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073032,N,L,9,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073034.2,N,L,12,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073036.2,N,L,5,17,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073037.5,N,L,15,17,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073039.9,N,L,13,21,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073220.7,N,L,12,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073222.8,N,L,14,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073227,N,L,13,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073228.7,N,L,12,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073230.5,N,L,11,15,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073232.2,N,L,13,15,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073306.0,N,S,14,7,3,R,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073412.9,N,L,12,8,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073415.8,N,L,14,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073417.8,N,L,13,19,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073601.6,N,L,14,13,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073604.9,N,L,13,13,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073607.3,N,L,12,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073608.4,N,L,6,23,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073610.6,N,L,17,20,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073612.7,N,L,13,19,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073614.3,N,L,12,21,3,R,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073757.0,N,L,11,18,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073749.5,N,L,12,6,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073752.3,N,L,12,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073755.3,N,L,13,17,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073939.4,N,L,14,10,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073941.2,N,L,8,13,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073943.5,N,L,10,18,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073946.5,N,L,6,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073948.5,N,L,18,17,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T073950.0,N,L,13,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074131.8,N,L,13,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074133.7,N,L,9,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074136.4,N,L,12,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074138.6,N,L,11,17,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074140.4,N,L,13,19,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074319.4,N,L,12,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074321.3,N,L,10,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074323.8,N,L,12,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074326.6,N,L,20,17,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074329.8,N,L,14,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074328.2,N,L,9,13,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074331.7,N,L,13,16,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074333.3,N,L,15,21,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074334.4,N,L,9,20,3,R,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074509.3,N,L,13,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074512.3,N,L,12,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074514.0,N,L,8,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074517.6,N,L,11,13,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074519.7,N,L,13,16,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074522.2,N,L,13,17,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074523.9,N,L,5,19,3,R,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074701.7,N,L,16,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074705.2,N,L,10,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074706.9,N,L,19,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074708.2,N,L,9,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074710.4,N,L,19,16,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074712.7,N,L,12,19,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074848.6,N,L,15,8,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T074851.9,N,L,11,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075037.6,N,L,12,4,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075042.6,N,L,12,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075049.4,N,L,8,21,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075235.1,N,L,10,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075237.7,N,L,12,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075239.5,N,L,12,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075228.4,N,L,12,7,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075242.9,N,L,13,18,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075240.9,N,L,12,17,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075419.4,N,L,11,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075420.8,N,L,9,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075423.3,N,L,16,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075425.5,N,L,4,18,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075428.9,N,L,13,20,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075430.4,N,L,15,20,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075433.2,N,L,15,20,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075608.2,N,L,11,22,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075612.3,N,L,5,13,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075611.2,N,L,7,10,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075615.2,N,L,7,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075621.3,N,L,8,21,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075619.3,N,L,11,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075617.3,N,L,13,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075621.9,N,L,10,10,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075622.8,N,L,16,18,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075626.2,N,L,17,22,3,R,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075624.4,N,L,12,15,3,R,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075759.6,N,L,13,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075801.6,N,L,11,13,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075949.6,N,L,13,8,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075951.6,N,L,12,13,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
